robot_0/q_std,robot_1/q_std,mean_final_energy,_runtime,robot_3/loss,robot_0/q_mean,global_step,total_agent_collisions_per_episode,robot_2/q_std,_timestamp,total_charges_per_episode,total_kills_per_episode,survival_rate,robot_2/loss,robot_3/q_std,_step,episode,robot_0/loss,robot_1/loss,episode_length,std_episode_reward,mean_episode_reward,robot_1/q_mean,robot_2/q_mean,robot_3/q_mean
,,49.25,9.308322167,,,296,0.0,,1763369299.333525,0.0,0.0,4.0,,,115,115.0,,,2.0,0.49751256265545696,-0.4925,,,
,,24.5,9.310723124999999,,,298,0.0,,1763369299.33516,0.0,0.0,4.0,,,116,116.0,,,2.0,0.25,-0.74,,,
,,37.0,9.31217225,,,300,0.0,,1763369299.337306,0.0,0.0,4.0,,,117,117.0,,,2.0,0.414578098794425,-0.615,,,
,,37.0,9.314790542,,,302,0.0,,1763369299.339118,0.0,0.0,4.0,,,118,118.0,,,2.0,0.35709767571352236,-0.4875,,,
,,36.5,9.316697459,,,305,0.0,,1763369299.341797,0.0,0.0,4.0,,,119,119.0,,,3.0,0.34651839777997356,-0.485,,,
,,37.0,9.319671042,,,307,0.0,,1763369299.344044,0.0,0.0,4.0,,,120,120.0,,,2.0,0.5000499975002499,-0.49,,,
,,38.25,9.3246795,,,309,0.0,,1763369299.348352,0.0,0.0,4.0,,,121,121.0,,,2.0,0.5130972130113357,-0.4775,,,
,,49.75,9.326791667,,,311,0.0,,1763369299.3517172,0.0,0.0,4.0,,,122,122.0,,,2.0,0.7437405461584032,-0.10999999999999999,,,
,,24.5,9.330427584,,,313,0.0,,1763369299.354514,0.0,0.0,4.0,,,123,123.0,,,2.0,0.25,-0.74,,,
,,24.25,9.3326675,,,316,0.0,,1763369299.35741,0.0,0.0,4.0,,,124,124.0,,,3.0,0.21510172012329423,-0.6074999999999999,,,
,,24.5,9.335469667,,,319,0.0,,1763369299.360167,0.0,0.0,4.0,,,125,125.0,,,3.0,0.21650635094610965,-0.605,,,
,,61.25,9.341938459,,,322,0.0,,1763369299.364127,0.0,0.0,4.0,,,126,126.0,,,3.0,0.9408108205160058,0.015000000000000013,,,
,,24.5,9.347315542,,,327,0.0,,1763369299.371233,0.0,0.0,4.0,,,127,127.0,,,5.0,0.21913180964889603,-0.5825,,,
,,25.25,9.35421775,,,333,0.0,,1763369299.379461,0.0,0.0,4.0,,,129,129.0,,,4.0,0.3679249244071404,-0.46249999999999997,,,
,,50.75,9.35771475,,,335,0.0,,1763369299.3818529,0.0,0.0,4.0,,,130,130.0,,,2.0,0.5662817320027196,-0.22499999999999998,,,
,,61.5,9.3596445,,,337,0.0,,1763369299.3844962,0.0,0.0,4.0,,,131,131.0,,,2.0,0.5579146440092785,-0.2425,,,
,,48.5,9.362128875,,,340,0.0,,1763369299.387042,0.0,0.0,4.0,,,132,132.0,,,3.0,0.41087558944283853,-0.3625,,,
,,49.0,9.3657305,,,342,0.0,,1763369299.388853,0.0,0.0,4.0,,,133,133.0,,,2.0,0.3500267846894006,-0.4925,,,
,,49.25,9.370758625,,,345,0.0,,1763369299.393713,0.0,0.0,4.0,,,134,134.0,,,3.0,0.8718084652032234,0.020000000000000018,,,
,,13.25,9.374546,,,348,0.0,,1763369299.3983738,0.0,0.0,4.0,,,135,135.0,,,3.0,0.2636640855330889,-0.7175,,,
,,49.25,9.376554292,,,350,0.0,,1763369299.4013922,0.0,0.0,4.0,,,136,136.0,,,2.0,0.3535533905932738,-0.49,,,
,,37.0,9.37951,,,352,0.0,,1763369299.403944,0.0,0.0,4.0,,,137,137.0,,,2.0,0.35709767571352236,-0.4875,,,
,,61.25,9.381945209,,,354,0.0,,1763369299.407006,0.0,0.0,4.0,,,138,138.0,,,2.0,0.4100609710762535,-0.37,,,
,,24.5,9.384349542,,,356,0.0,,1763369299.40907,0.0,0.0,4.0,,,139,139.0,,,2.0,0.25,-0.74,,,
,,48.0,9.386846375,,,360,0.0,,1763369299.411466,0.0,0.0,4.0,,,140,140.0,,,4.0,0.3500982005095142,-0.4825,,,
,,37.0,9.3893125,,,364,0.0,,1763369299.414295,0.0,0.0,4.0,,,141,141.0,,,4.0,0.81967981553775,-0.34500000000000003,,,
,,61.75,9.391267167,,,366,0.0,,1763369299.416233,0.0,0.0,4.0,,,142,142.0,,,2.0,0.4330704330706496,-0.24,,,
,,12.0,9.395399042,,,369,0.0,,1763369299.4194849,0.0,0.0,4.0,,,143,143.0,,,3.0,0.24752525123712127,-0.7324999999999999,,,
,,37.0,9.396947125,,,371,0.0,,1763369299.422219,0.0,0.0,4.0,,,144,144.0,,,2.0,0.6123724356957945,-0.49,,,
,,50.5,9.39856525,,,373,0.0,,1763369299.4237719,0.0,0.0,4.0,,,145,145.0,,,2.0,0.42663655492702446,-0.3525,,,
,,74.0,9.399837542,,,375,0.0,,1763369299.425165,0.0,0.0,4.0,,,146,146.0,,,2.0,0.7106818908625716,0.007500000000000007,,,
,,37.0,9.40146975,,,377,0.0,,1763369299.426642,0.0,0.0,4.0,,,147,147.0,,,2.0,0.414578098794425,-0.615,,,
,,27.25,9.404176667,,,382,0.0,,1763369299.4290712,0.0,0.0,4.0,,,148,148.0,,,5.0,0.47428894146922723,-0.17999999999999994,,,
,,38.5,9.406957959,,,386,0.0,,1763369299.431285,0.0,0.0,4.0,,,149,149.0,,,4.0,0.41631568550800485,-0.32749999999999996,,,
,,61.5,9.408449209,,,388,0.0,,1763369299.43375,0.0,0.0,4.0,,,150,150.0,,,2.0,0.5579146440092785,-0.2425,,,
,,50.0,9.411983584,,,391,0.0,,1763369299.4357,0.0,0.0,4.0,,,151,151.0,,,3.0,0.4380853227397604,-0.22249999999999998,,,
,,49.0,9.414114542,,,393,0.0,,1763369299.43936,0.0,0.0,4.0,,,152,152.0,,,2.0,0.495,-0.495,,,
,,37.0,9.415820084,,,395,0.0,,1763369299.441076,0.0,0.0,4.0,,,153,153.0,,,2.0,0.3570976757135224,-0.4875,,,
,,63.5,9.4172595,,,397,0.0,,1763369299.442494,0.0,0.0,4.0,,,154,154.0,,,2.0,0.7403504237859259,0.15250000000000002,,,
,,37.0,9.41885,,,399,0.0,,1763369299.4439669,0.0,0.0,4.0,,,155,155.0,,,2.0,0.35709767571352236,-0.4875,,,
,,49.25,9.421581792,,,401,0.0,,1763369299.4464169,0.0,0.0,4.0,,,156,156.0,,,2.0,0.5448623679425842,-0.365,,,
,,12.0,9.423615792,,,405,0.0,,1763369299.448802,0.0,0.0,4.0,,,157,157.0,,,4.0,0.413846287889598,-0.5974999999999999,,,
,,49.25,9.425348,,,407,0.0,,1763369299.450599,0.0,0.0,4.0,,,158,158.0,,,2.0,0.5448623679425842,-0.365,,,
,,38.25,9.42724575,,,412,0.0,,1763369299.4523299,0.0,0.0,4.0,,,159,159.0,,,5.0,0.3929694644625712,0.05500000000000006,,,
,,37.0,9.428933459,,,414,0.0,,1763369299.454039,0.0,0.0,4.0,,,160,160.0,,,2.0,0.414578098794425,-0.615,,,
,,38.25,9.430861042,,,416,0.0,,1763369299.4560158,0.0,0.0,4.0,,,161,161.0,,,2.0,0.375066660741794,-0.475,,,
,,28.25,9.432500792,,,419,0.0,,1763369299.4575481,0.0,0.0,4.0,,,162,162.0,,,3.0,0.4741835087811469,-0.18999999999999995,,,
,,37.0,9.435805667,,,421,0.0,,1763369299.459315,0.0,0.0,4.0,,,163,163.0,,,2.0,0.35709767571352236,-0.4875,,,
,,24.75,9.438394625,,,423,0.0,,1763369299.463664,0.0,0.0,4.0,,,164,164.0,,,2.0,0.4183524232032127,-0.6125,,,
,,62.0,9.439761542,,,425,0.0,,1763369299.465088,0.0,0.0,4.0,,,165,165.0,,,2.0,0.4344752582138596,-0.2375,,,
,,37.25,9.441109292,,,427,0.0,,1763369299.4665558,0.0,0.0,4.0,,,166,166.0,,,2.0,0.5025124376570196,-0.4875,,,
,,50.75,9.442838167,,,429,0.0,,1763369299.4679968,0.0,0.0,4.0,,,167,167.0,,,2.0,0.42871902220452035,-0.35,,,
,,37.0,9.445934584,,,433,0.0,,1763369299.471296,0.0,0.0,4.0,,,169,169.0,,,2.0,0.414578098794425,-0.615,,,
,,61.25,9.448222542,,,435,0.0,,1763369299.4727051,0.0,0.0,4.0,,,170,170.0,,,2.0,0.4100609710762535,-0.37,,,
,,50.5,9.450435167,,,437,0.0,,1763369299.4753962,0.0,0.0,4.0,,,171,171.0,,,2.0,0.4266365549270245,-0.3525,,,
,,49.5,9.453903542,,,439,0.0,,1763369299.477731,0.0,0.0,4.0,,,172,172.0,,,2.0,0.43453279507995707,-0.2375,,,
,,49.25,9.457118834,,,441,0.0,,1763369299.482377,0.0,0.0,4.0,,,173,173.0,,,2.0,0.6480885356183984,-0.3675,,,
,,74.25,9.458742959,,,443,0.0,,1763369299.484001,0.0,0.0,4.0,,,174,174.0,,,2.0,0.7106686991840854,0.010000000000000007,,,
,,62.75,9.460550375,,,445,0.0,,1763369299.485652,0.0,0.0,4.0,,,175,175.0,,,2.0,0.439715817318413,-0.22999999999999998,,,
,,37.0,9.4619105,,,447,0.0,,1763369299.4872608,0.0,0.0,4.0,,,176,176.0,,,2.0,0.35709767571352236,-0.4875,,,
,,38.0,9.464153084,,,450,0.0,,1763369299.4891388,0.0,0.0,4.0,,,177,177.0,,,3.0,0.5774080013300821,-0.21999999999999997,,,
,,49.5,9.466094792,,,452,0.0,,1763369299.49107,0.0,0.0,4.0,,,178,178.0,,,2.0,0.41685579041198406,-0.3625,,,
,,37.75,9.468961,,,455,0.0,,1763369299.493644,0.0,0.0,4.0,,,179,179.0,,,3.0,0.20670026608594388,-0.345,,,
