robot_1/q_std,survival_rate,total_charges_per_episode,robot_0/q_std,mean_final_energy,robot_2/loss,episode_length,_runtime,robot_1/loss,robot_3/q_mean,total_kills_per_episode,total_agent_collisions_per_episode,_step,global_step,std_episode_reward,robot_0/loss,mean_episode_reward,episode,robot_3/loss,robot_3/q_std,_timestamp,robot_2/q_std,robot_0/q_mean,robot_2/q_mean,robot_1/q_mean
,,,,,0.08959243446588516,,1508.348202125,,,,,207,24000,,,,,,,1763372023.279017,0.5734022259712219,,13.697593688964844,
,,,,,,,1508.361757708,,11.983332633972168,,,208,24000,,,,,0.013636710122227669,0.7435081601142883,1763372023.2926111,,,,
,4.0,0.0,,197.0,,500.0,1517.071701458,,,0.0,0.0,209,24178,7.022204069948315,,168.46999999999994,113.0,,,1763372032.002648,,,,
0.6300821304321289,,,,,,,1564.158759625,0.013116277754306793,,,,212,25000,,,,,,,1763372079.0904121,,,,11.749656677246094
,,,,,0.014632507227361202,,1564.173772417,,,,,213,25000,,,,,,,1763372079.105408,1.018733263015747,,13.8560152053833,
,,,,,,,1564.187888833,,12.450248718261719,,,214,25000,,,,,0.02333139441907406,0.6860108971595764,1763372079.119528,,,,
,4.0,0.0,,198.75,,500.0,1573.534091292,,,0.0,0.0,215,25178,5.336826655419851,,169.36250000000007,115.0,,,1763372088.465875,,,,
,,,0.647442638874054,,,,1616.669498625,,,,,217,26000,,0.02437298744916916,,,,,1763372131.601998,,12.281953811645508,,
0.5802337527275085,,,,,,,1616.682750333,0.007403041236102581,,,,218,26000,,,,,,,1763372131.6153102,,,,12.102449417114258
,,,,,0.06509661674499512,,1616.694717208,,,,,219,26000,,,,,,,1763372131.627234,1.937026023864746,,13.795127868652344,
,,,,,,,1616.706507333,,12.785964965820312,,,220,26000,,,,,0.019141675904393196,0.5462923645973206,1763372131.6390789,,,,
,4.0,0.0,,195.25,,500.0,1650.980223708,,,0.0,0.0,222,26678,4.470773842412502,,162.70250000000013,118.0,,,1763372165.91303,,,,
,,,,,0.1209232285618782,,1667.142828625,,,,,225,27000,,,,,,,1763372182.076181,1.0563240051269531,,14.488639831542969,
,4.0,0.0,,197.5,,500.0,1700.92233,,,0.0,0.0,228,27678,6.7531474143543795,,176.09999999999997,120.0,,,1763372215.856174,,,,
0.5462948679924011,,,,,,,1717.351708125,0.01136891357600689,,,,230,28000,,,,,,,1763372232.285722,,,,13.118143081665039
,,,,,0.028696630150079727,,1717.368413083,,,,,231,28000,,,,,,,1763372232.3024662,1.1944035291671753,,14.700616836547852,
,,,,,,,1717.382284958,,13.471088409423828,,,232,28000,,,,,0.08283896744251251,0.8159523606300354,1763372232.316444,,,,
,4.0,0.0,,191.25,,500.0,1726.350875208,,,0.0,0.0,233,28178,8.110673137909066,,169.78749999999997,121.0,,,1763372241.2851799,,,,
,4.0,0.0,,108.25,,417.0,1766.301137083,,,0.0,0.0,234,28595,8.451162641909145,,136.25000000000026,122.0,,,1763372281.235878,,,,
0.654552161693573,,,,,,,1795.027438167,0.006405407562851906,,,,236,29000,,,,,,,1763372415.611265,,,,13.268942832946777
,,,,,,,1795.073065125,,14.097112655639648,,,238,29000,,,,,0.03943164646625519,0.4411388635635376,1763372415.6569998,,,,
,4.0,0.0,,128.75,,473.0,1828.939015167,,,0.0,0.0,240,29568,7.069112391241119,,150.89000000000013,124.0,,,1763372545.90895,,,,
,4.0,0.0,,148.5,,259.0,1845.152701625,,,0.0,0.0,241,29827,7.881504853135675,,84.94750000000006,125.0,,,1763372570.171116,,,,
,,,0.5625333189964294,,,,1856.249306875,,,,,242,30000,,0.008471090346574783,,,,,1763372590.5177631,,13.981904983520508,,
,,,,,0.0257742777466774,,1856.273714167,,,,,244,30000,,,,,,,1763372590.542156,1.1144391298294067,,15.729349136352539,
,4.0,0.0,,189.75,,500.0,1887.767955208,,,0.0,0.0,247,30558,6.473145970082787,,166.0225000000001,127.0,,,1763372914.5433128,,,,
,,,0.4440903663635254,,,,1915.219120417,,,,,248,31000,,0.007048685569316149,,,,,1763372994.382705,,14.113580703735352,,
0.722617506980896,,,,,,,1915.229414042,0.016568263992667198,,,,249,31000,,,,,,,1763372994.393406,,,,13.829793930053711
,,,,,,,1915.25800275,,14.700355529785156,,,251,31000,,,,,0.07196871191263199,0.5523136854171753,1763372994.4218612,,,,
,4.0,0.0,,101.5,,179.0,1929.030985792,,,0.0,0.0,253,31237,2.1980488506855447,,49.80250000000001,129.0,,,1763373948.9517598,,,,
,,,,,0.10676930099725723,,2023.273174208,,,,,258,32000,,,,,,,1763375574.032449,1.0334056615829468,,16.582691192626953,
,,,,,,,2023.282983042,,15.038993835449219,,,259,32000,,,,,0.01504925824701786,0.612220048904419,1763375574.042227,,,,
,4.0,0.0,,187.75,,500.0,2042.767334875,,,0.0,0.0,260,32395,10.08615728362387,,162.37750000000017,132.0,,,1763375593.52603,,,,
,4.0,0.0,,165.75,,500.0,2098.165085375,,,0.0,0.0,261,32895,9.397085651945373,,158.78250000000008,133.0,,,1763375648.925283,,,,
,,,0.4797590374946594,,,,2105.335058583,,,,,262,33000,,0.010994577780365944,,,,,1763375656.094877,,15.094341278076172,,
,,,,,,,2105.3911885,,15.406497955322266,,,265,33000,,,,,0.017129871994256973,0.7444530129432678,1763375656.151653,,,,
0.5704564452171326,,,,,,,2162.074481958,0.006928641814738512,,,,269,34000,,,,,,,1763375712.835807,,,,15.137622833251953
,,,,,0.05503211170434952,,2162.089137833,,,,,270,34000,,,,,,,1763375712.850546,2.189256191253662,,16.781442642211914,
,,,,,,,2162.103031667,,15.604453086853027,,,271,34000,,,,,0.023828238248825073,0.8843839168548584,1763375712.8644512,,,,
,4.0,0.0,,122.25,,335.0,2166.568174708,,,0.0,0.0,272,34096,13.661736712438943,,103.57000000000018,136.0,,,1763375717.32964,,,,
,4.0,0.0,,144.75,,451.0,2187.103249792,,,0.0,0.0,273,34547,7.130184078970139,,143.95500000000013,137.0,,,1763375737.8649101,,,,
,4.0,0.0,,140.5,,316.0,2202.071081667,,,0.0,0.0,274,34863,9.75157006589201,,96.68750000000011,138.0,,,1763375752.832476,,,,
0.5465871095657349,,,,,,,2208.446299375,0.003759954124689102,,,,276,35000,,,,,,,1763375759.208477,,,,15.362215995788574
,4.0,0.0,,180.5,,500.0,2224.712950917,,,0.0,0.0,279,35363,3.9566810586652847,,166.30499999999998,139.0,,,1763375775.47538,,,,
0.3574301600456238,,,,,,,2253.774737625,0.006091192364692688,,,,282,36000,,,,,,,1763375804.5377018,,,,15.89420223236084
,,,,,0.03015883080661297,,2253.7838145,,,,,283,36000,,,,,,,1763375804.5468018,0.41411855816841125,,17.952468872070312,
