survival_rate,total_kills_per_episode,robot_1/loss,robot_2/q_std,episode,epsilon,global_step,robot_0/q_mean,_step,robot_0/q_std,robot_2/loss,robot_1/q_mean,robot_3/q_std,total_agent_collisions_per_episode,total_charges_per_episode,_runtime,robot_0/loss,mean_final_energy,episode_length,_timestamp,robot_3/q_mean,std_episode_reward,robot_3/loss,robot_2/q_mean,mean_episode_reward,robot_1/q_std
,,0.17574234306812286,,,,24000,,698,,,9.026510238647461,,,,528.02811653,,,,1763416470.0156605,,,,,,0.8587844967842102
4.0,0.0,,,606.0,0.0,24875,,702,,,,,0.0,2000.0,548.652232321,,100.0,500.0,1763416490.6393178,,0.0,,,254.9999999999983,
,,,,,,25000,10.859889030456543,703,0.022728703916072845,,,,,,551.664389721,9.900738859869307e-07,,,1763416493.6515732,,,,,,
4.0,0.0,,,607.0,0.0,25375,,707,,,,,0.0,2000.0,560.621418761,,100.0,500.0,1763416502.6084929,,0.0,,,254.9999999999983,
,,,,,,28000,11.974925994873047,721,0.5058844089508057,,,,,,623.797286323,0.00018582295160740614,,,1763416565.7846675,,,,,,
4.0,0.0,,,613.0,0.0,28375,,725,,,,,0.0,2000.0,632.883308915,,100.0,500.0,1763416574.8702989,,0.0,,,254.9999999999983,
,,,2.383162498474121,,,29000,,729,,0.00024373203632421792,,,,,647.988349253,,,,1763416589.9758322,,,,11.620519638061523,,
,,,,,,29000,,730,,,,0.04857839271426201,,,647.994331168,,,,1763416589.981792,13.228036880493164,,5.600855729426257e-05,,,
4.0,0.0,,,622.0,0.0,32875,,750,,,,,0.0,2000.0,740.182113537,,100.0,500.0,1763416682.1691806,,0.0,,,254.9999999999983,
,,,,,,34000,14.35758113861084,757,0.01677512377500534,,,,,,759.83597376,0.0002845737326424569,,,1763416701.8233476,,,,,,
4.0,0.0,,,626.0,0.0,34875,,762,,,,,0.0,1998.0,772.915471975,,100.0,500.0,1763416714.9024897,,0.4330127018922316,,,254.7499999999983,
4.0,0.0,,,627.0,0.0,35375,,767,,,,,0.0,1998.0,784.763616612,,100.0,500.0,1763416726.7504952,,0.4330127018921701,,,254.74999999999832,
,,,4.630594253540039,,,36000,,771,,0.0005072732456028461,,,,,799.85774785,,,,1763416741.8451264,,,,13.018341064453125,,
4.0,0.0,,,629.0,0.0,36375,,773,,,,,0.0,1969.0,808.911494636,,100.0,500.0,1763416750.898523,,6.7116968793286,,,251.12499999999875,
4.0,0.0,,,630.0,0.0,36875,,774,,,,,0.0,1970.0,820.279336144,,100.0,500.0,1763416762.2661977,,6.495190528382612,,,251.2499999999987,
,,,,,,37000,15.19314956665039,775,1.0547436475753784,,,,,,822.672847472,9.287870489060879e-05,,,1763416764.6598396,,,,,,
,,0.01029178872704506,,,,39000,,788,,,15.480066299438477,,,,868.960177783,,,,1763416810.9475594,,,,,,2.368792772293091
,,,3.036586284637451,,,39000,,789,,0.0016152416355907917,,,,,868.966321636,,,,1763416810.9537654,,,,15.194445610046387,,
4.0,0.0,,,637.0,0.0,40375,,797,,,,,0.0,1993.0,902.162969832,,100.0,500.0,1763416844.1498377,,1.5155444566227307,,,254.12499999999832,
,,0.08987954258918762,,,,42000,,806,,,16.378572463989258,,,,941.517010282,,,,1763416883.5043972,,,,,,2.940903425216675
4.0,0.0,,,643.0,0.0,43375,,815,,,,,0.0,2000.0,974.811121405,,100.0,500.0,1763416916.798294,,0.0,,,254.9999999999983,
,,0.06599694490432739,,,,46000,,830,,,18.486427307128906,,,,1035.386524166,,,,1763416977.374012,,,,,,1.1340457201004028
4.0,0.0,,,651.0,0.0,47375,,839,,,,,0.0,2000.0,1058.966326563,,100.0,500.0,1763417000.9536207,,0.0,,,254.9999999999983,
4.0,0.0,,,654.0,0.0,48875,,846,,,,,0.0,1996.0,1095.38670093,,100.0,500.0,1763417037.3737466,,0.8660254037843402,,,254.49999999999835,
4.0,0.0,,,659.0,0.0,51375,,863,,,,,0.0,1998.0,1156.274089128,,96.25,500.0,1763417098.2609758,,0.4979646071759685,,,254.71249999999836,
,,,,,,52000,19.926414489746094,865,1.4486362934112549,,,,,,1171.696457905,0.00047120184171944857,,,1763417113.683674,,,,,,
,,0.021358400583267212,,,,53000,,872,,,20.796062469482422,,,,1196.238837544,,,,1763417138.2262328,,,,,,0.5431259274482727
4.0,0.0,,,664.0,0.0,53875,,876,,,,,0.0,1991.0,1217.525924173,,100.0,500.0,1763417159.5129793,,1.9485571585147654,,,253.87499999999844,
,,,,,,54000,,880,,,,0.5323953032493591,,,1220.580536887,,,,1763417162.5679898,21.55328369140625,,0.006140945479273796,,,
4.0,0.0,,,670.0,0.0,56875,,894,,,,,0.0,2000.0,1287.04894293,,100.0,500.0,1763417229.0358648,,0.0,,,254.9999999999983,
4.0,0.0,,,672.0,0.0,57875,,900,,,,,0.0,1993.0,1311.393280156,,100.0,500.0,1763417253.38026,,1.5155444566225338,,,254.12499999999844,
,,,,,,60000,,916,,,,0.005155337043106556,,,1341.771544383,,,,1763417283.7590613,23.341327667236328,,4.633660864783451e-05,,,
,,,4.389744758605957,,,61000,,921,,0.0008253332925960422,,,,,1356.258342568,,,,1763417298.2458956,,,,21.75967788696289,,
,,,,,,61000,,922,,,,0.04319680109620094,,,1356.261717581,,,,1763417298.2492373,23.606708526611328,,1.1869256013596896e-05,,,
4.0,0.0,,,682.0,0.0,62875,,930,,,,,0.0,1992.0,1389.329669171,,100.0,500.0,1763417331.3165722,,1.7320508075687788,,,253.99999999999835,
,,0.0065759276039898396,,,,63000,,932,,,23.30551528930664,,,,1392.42284523,,,,1763417334.410302,,,,,,3.8354146480560303
,,0.002605042653158307,,,,64000,,938,,,23.621309280395508,,,,1416.99541995,,,,1763417358.982789,,,,,,3.890638589859009
4.0,0.0,,,685.0,0.0,64375,,941,,,,,0.0,1999.0,1426.319019263,,100.0,500.0,1763417368.3058631,,0.21650635094606044,,,254.87499999999832,
4.0,0.0,,,686.0,0.0,64875,,942,,,,,0.0,1994.0,1435.285324542,,95.0,500.0,1763417377.272401,,1.3856406460548878,,,254.19999999999843,
4.0,0.0,,,688.0,0.0,65875,,948,,,,,0.0,1989.0,1458.945754619,,100.0,500.0,1763417400.9326816,,2.3815698604068616,,,253.6249999999985,
,,0.31089165806770325,,,,67000,,956,,,25.02109146118164,,,,1486.735241715,,,,1763417428.7225559,,,,,,1.4420422315597534
4.0,0.0,,,693.0,0.0,68375,,965,,,,,0.0,1988.0,1519.708299306,,100.0,500.0,1763417461.695159,,2.5980762113529465,,,253.4999999999985,
,,0.0020377831533551216,,,,70000,,974,,,26.07683563232422,,,,1551.153351271,,,,1763417493.1407537,,,,,,0.2458956092596054
,,0.037301573902368546,,,,71000,,980,,,26.60614585876465,,,,1575.68340795,,,,1763417517.6707911,,,,,,0.1641796976327896
,,,1.6332489252090454,,,71000,,981,,0.002834774786606431,,,,,1575.690290448,,,,1763417517.6775737,,,,25.346939086914062,,
,,,,,,72000,25.806671142578125,985,0.07249955087900162,,,,,,1600.622030286,0.0009495305130258203,,,1763417542.6090138,,,,,,
,,0.3133600652217865,,,,72000,,986,,,25.63376808166504,,,,1600.62842583,,,,1763417542.615829,,,,,,4.478977680206299
,,,,,,73000,,994,,,,4.8621625900268555,,,1625.259866342,,,,1763417567.2472906,25.73520851135254,,0.00526886060833931,,,
4.0,0.0,,,703.0,0.0,73375,,995,,,,,0.0,1997.0,1634.49609813,,100.0,500.0,1763417576.4829774,,0.6495190528381813,,,254.62499999999838,
,,,,,,74000,26.345760345458984,997,0.0329451784491539,,,,,,1649.86190193,2.518525616324041e-05,,,1763417591.8488722,,,,,,
,,,,,,74000,,1000,,,,0.11591937392950058,,,1649.882105999,,,,1763417591.8695126,26.84138298034668,,0.0023668925277888775,,,
,,0.018961194902658463,,,,75000,,1004,,,25.698230743408203,,,,1674.645036409,,,,1763417616.6324987,,,,,,6.084308624267578
,,,,,,77000,27.06087875366211,1015,0.00044406604138202965,,,,,,1724.740519757,0.00020129792392253876,,,1763417666.727509,,,,,,
4.0,0.0,,,712.0,0.0,77875,,1020,,,,,0.0,1997.0,1746.540169252,,100.0,500.0,1763417688.527152,,0.6495190528381813,,,254.62499999999838,
4.0,0.0,,,715.0,0.0,79375,,1031,,,,,0.0,1999.0,1783.657031184,,100.0,500.0,1763417725.643968,,0.21650635094606044,,,254.87499999999832,
,,,1.4454842805862427,,,80000,,1035,,0.011101128533482552,,,,,1798.0797931,,,,1763417740.0672414,,,,27.77853012084961,,
