robot_0/loss,global_step,episode_length,robot_1/q_std,_runtime,robot_3/q_std,robot_2/q_mean,_timestamp,epsilon,robot_0/q_mean,mean_episode_reward,total_kills_per_episode,total_agent_collisions_per_episode,survival_rate,mean_final_energy,episode,std_episode_reward,_step,total_charges_per_episode,robot_3/q_mean,robot_2/loss,robot_0/q_std,robot_1/loss,robot_3/loss,robot_2/q_std,robot_1/q_mean
,1461,6.0,,26.353717933,,,1763425371.9682364,0.2,,1.1749999999999998,1.0,1.0,3.0,61.75,546.0,1.892623840069653,550,12.0,,,,,,,
,1487,5.0,,26.990265411,,,1763425372.6047819,0.2,,1.67,0.0,0.0,3.0,74.75,549.0,1.247256990359244,553,15.0,,,,,,,
,1504,7.0,,27.390170537,,,1763425373.004689,0.2,,2.3275,0.0,0.0,3.0,63.5,551.0,0.7411941378613299,555,21.0,,,,,,,
,1552,6.0,,28.528808426,,,1763425374.143291,0.2,,2.07,0.0,0.0,3.0,51.25,555.0,0.7110203935190605,559,20.0,,,,,,,
,1651,6.0,,30.886691781,,,1763425376.5010996,0.2,,1.4425,0.0,1.0,3.0,51.0,563.0,1.2038973170499216,567,15.0,,,,,,,
,1674,23.0,,31.448195508,,,1763425377.0625427,0.2,,7.195,0.0,0.0,3.0,46.75,564.0,2.490185736044605,568,60.0,,,,,,,
,1716,28.0,,32.260497785,,,1763425377.8749628,0.2,,9.105000000000002,1.0,2.0,3.0,45.25,566.0,3.4245109139846557,570,75.0,,,,,,,
,1750,4.0,,32.721687358,,,1763425378.3363285,0.2,,1.0625,0.0,0.0,3.0,52.5,569.0,0.7120524910426197,573,12.0,,,,,,,
,1842,17.0,,34.121547402,,,1763425379.7355762,0.2,,2.9074999999999998,0.0,2.0,3.0,61.5,576.0,1.8891449785551144,580,25.0,,,,,,,
,1952,12.0,,36.776202123,,,1763425382.3907065,0.2,,3.1999999999999997,0.0,3.0,3.0,45.75,585.0,0.7263263729206034,589,29.0,,,,,,,
0.0008889568271115422,2000,,,37.97134535,,,1763425383.5857801,,-0.018517982214689255,,,,,,,,593,,,,0.4535151720046997,,,,
