robot_3/q_std,_runtime,mean_episode_reward,robot_0/q_std,robot_2/loss,total_kills_per_episode,robot_2/q_std,episode,robot_3/loss,robot_2/q_mean,total_immediate_kills_per_episode,epsilon,_timestamp,episode_length,total_charges_per_episode,std_episode_reward,_step,total_non_home_charges_per_episode,global_step,robot_1/q_std,robot_3/q_mean,robot_1/loss,survival_rate,mean_final_energy,robot_0/loss,robot_0/q_mean,robot_1/q_mean,total_agent_collisions_per_episode
,129.407054712,85.79750000000021,,,0.0,,594.0,,,0.0,0.05092252885731386,1763495941.3396606,180.0,674.0,1.8721695302509433,614,0.0,5457,,,,3.0,75.0,,,,1.0
,146.978964422,41.96499999999999,,,0.0,,603.0,,,0.0,0.04867631463831842,1763495958.9118333,88.0,331.0,2.122127470252439,627,0.0,6141,,,,3.0,71.25,,,,0.0
,154.79937647,18.76250000000001,,,0.0,,606.0,,,0.0,0.04794981455780219,1763495966.7321842,39.0,149.0,0.896531510879568,630,0.0,6448,,,,3.0,75.0,,,,0.0
,159.97699394,8.400000000000002,,,0.0,,612.0,,,0.0,0.04652918187562211,1763495971.9097383,19.0,69.0,0.7860025445251433,636,0.0,6663,,,,3.0,58.75,,,,0.0
,164.681052512,38.135000000000005,,,0.0,,615.0,,,0.0,0.04583472801998072,1763495976.61336,80.0,302.0,1.1405809923017234,639,0.0,6848,,,,3.0,58.75,,,,0.0
,165.536730937,17.032500000000006,,,0.0,,616.0,,,0.0,0.045605554379880814,1763495977.4696043,36.0,136.0,0.9342209321140267,640,0.0,6884,,,,3.0,67.5,,,,0.0
,171.088515371,39.17250000000001,,,0.0,,619.0,,,0.0,0.044924885780066794,1763495983.0204396,80.0,309.0,1.1942649412923376,647,0.0,7079,,,,3.0,75.0,,,,0.0
,173.887171789,10.225,,,0.0,,622.0,,,0.0,0.04425437624418858,1763495985.819833,24.0,83.0,1.7551139564142284,650,0.0,7174,,,,3.0,61.25,,,,0.0
,195.008539609,52.55999999999999,,,0.0,,632.0,,,0.0,0.04209078556329156,1763496006.9413435,110.0,414.0,2.612766732794894,664,0.0,8008,,,,3.0,71.25,,,,0.0
,233.832315906,84.20250000000017,,,0.0,,644.0,,,0.0,0.03963364364733769,1763496045.7649517,173.0,662.0,2.9024590867055973,680,0.0,9554,,,,3.0,72.5,,,,2.0
,244.782371123,,0.9508354663848877,,,,,,,,,1763496056.7154875,,,,684,,10000,,,,,,0.010545398108661175,3.8114941120147705,,
,249.66316736,16.222500000000004,,,0.0,,649.0,,,0.0,0.0386526615487428,1763496061.5960104,35.0,129.0,1.1429211477612977,689,0.0,10199,,,,3.0,75.0,,,,0.0
