global_step,robot_2/q_std,mean_episode_reward,robot_1/q_mean,episode,robot_2/loss,robot_0/q_std,_runtime,robot_3/q_std,robot_2/q_mean,robot_3/q_mean,mean_final_energy,robot_1/loss,robot_0/loss,epsilon,_timestamp,robot_1/q_std,total_agent_collisions_per_episode,episode_length,total_kills_per_episode,robot_3/loss,robot_0/q_mean,total_charges_per_episode,_step,survival_rate,std_episode_reward
147000,,,,,,,3373.571736456,14.350849151611328,,62.75474548339844,,,,,1763439434.9447455,,,,,1.603117823600769,,,1254,,
149451,,131.4000000000002,,675.0,,,3420.520259292,,,,19.25,,,0.03392965965983891,1763439481.8927183,,66.0,421.0,0.0,,,1032.0,1271,3.0,35.139606571502526
152201,,10.937500000000002,,691.0,,,3486.993212112,,,,131.0,,,0.03131473892591842,1763439548.3656847,,26.0,38.0,0.0,,,90.0,1299,3.0,7.275721184185113
157457,,49.60250000000005,,711.0,,,3602.798490187,,,,105.0,,,0.02832764101944931,1763439664.1709354,,29.0,168.0,0.0,,,391.0,1339,3.0,19.619098316436414
157900,,141.6050000000002,,712.0,,,3613.623476686,,,,30.25,,,0.028186002814352063,1763439674.9959788,,58.0,443.0,0.0,,,1111.0,1340,3.0,28.917871204498503
159000,6.139011859893799,,,,23.095739364624023,,3639.995169316,,44.50611114501953,,,,,,1763439701.3680105,,,,,,,,1349,,
160234,,11.892499999999998,,723.0,,,3668.820606635,,,,127.5,,,0.026673952849996664,1763439730.1932318,,20.0,37.0,0.0,,,98.0,1363,3.0,8.175849726481035
160496,,38.10999999999998,,725.0,,,3674.986200573,,,,132.25,,,0.026407880170317945,1763439736.358693,,19.0,104.0,5.0,,,302.0,1365,3.0,21.47565249299772
161000,,,,,,,3686.773247272,12.857093811035156,,71.48509979248047,,,,,1763439748.1460743,,,,,4.861443042755127,,,1370,,
162000,,,,,,,3710.618340174,13.739449501037598,,71.05171203613281,,,,,1763439771.9912424,,,,,2.39154314994812,,,1380,,
162397,,144.78249999999994,,733.0,,,3720.117742296,,,,40.75,,,0.02536986677519817,1763439781.4901857,,35.0,500.0,0.0,,,1131.0,1381,4.0,66.39149507843607
163268,,56.07250000000002,,736.0,,,3741.044453411,,,,127.0,,,0.024991218342344988,1763439802.4168398,,32.0,193.0,0.0,,,439.0,1388,3.0,21.02483813849699
163380,,41.55499999999999,,737.0,,,3743.729631358,,,,118.75,,,0.024866262250633264,1763439805.1020718,,21.0,112.0,0.0,,,330.0,1389,3.0,17.00798121471208
164000,5.758062362670898,,,,0.4737415313720703,,3758.672381253,,46.40741729736328,,,,,,1763439820.0452752,,,,,,,,1395,,
164628,,33.28749999999997,,743.0,,,3773.64454921,,,,112.5,,,0.024129537298457977,1763439835.0172167,,34.0,104.0,0.0,,,265.0,1399,3.0,21.377178690135874
165000,,,,,,2.729957342147827,3782.525867357,,,,,,0.47885555028915405,,1763439843.8983688,,,,,,42.66345977783203,,1401,,
165397,,162.8199999999995,,745.0,,,3792.109054733,,,,107.0,,,0.023888845163905856,1763439853.4814556,,63.0,500.0,0.0,,,1270.0,1405,4.0,34.3698828918574
