total_kills_per_episode,global_step,robot_1/loss,robot_3/q_mean,mean_final_energy,robot_3/loss,total_charges_per_episode,_runtime,_timestamp,mean_episode_reward,total_agent_collisions_per_episode,_step,robot_0/q_std,robot_2/loss,episode_length,robot_1/q_mean,survival_rate,episode,robot_0/loss,robot_2/q_mean,robot_3/q_std,robot_0/q_mean,std_episode_reward,epsilon,robot_1/q_std,robot_2/q_std
0.0,1131,,,38.75,,9.0,22.112960544,1763425032.278829,0.56,2.0,503,,,5.0,,3.0,499.0,,,,,0.7534918712235721,0.5,,
0.0,1135,,,63.75,,9.0,22.223119888,1763425032.3890948,0.8,1.0,504,,,4.0,,3.0,500.0,,,,,0.9085978208206313,0.5,,
0.0,1147,,,44.75,,30.0,22.496752999,1763425032.6627648,3.3149999999999995,1.0,505,,,12.0,,3.0,501.0,,,,,1.4311097092815772,0.5,,
0.0,1184,,,49.75,,3.0,23.380509782,1763425033.5466251,-0.11249999999999999,0.0,515,,,2.0,,2.0,511.0,,,,,0.8958341085267963,0.5,,
1.0,1214,,,52.25,,6.0,24.084316866,1763425034.2504568,0.30000000000000004,2.0,522,,,3.0,,3.0,518.0,,,,,0.7613474896523926,0.5,,
0.0,1255,,,37.25,,17.0,25.10360075,1763425035.2695546,1.585,3.0,530,,,9.0,,3.0,526.0,,,,,1.3865514775874712,0.5,,
1.0,1258,,,51.0,,6.0,25.17272765,1763425035.338728,0.2875,3.0,531,,,3.0,,3.0,527.0,,,,,0.7562200407288874,0.5,,
0.0,1272,,,51.0,,3.0,25.417848681,1763425035.5840664,-0.09749999999999998,0.0,534,,,2.0,,3.0,530.0,,,,,0.7462363901606515,0.5,,
0.0,1291,,,48.25,,2.0,25.854032512,1763425036.0200908,-0.22999999999999998,1.0,539,,,4.0,,3.0,535.0,,,,,0.427375712927162,0.5,,
0.0,1297,,,74.5,,4.0,26.000168354,1763425036.1664367,0.2625,0.0,541,,,2.0,,3.0,537.0,,,,,0.834457158876356,0.5,,
0.0,1307,,,62.0,,8.0,26.19625527,1763425036.3622935,0.6575,0.0,543,,,4.0,,3.0,539.0,,,,,0.6509752299435057,0.5,,
