/usr/local/lib/python3.10/dist-packages/torch/utils/_pytree.py:185: FutureWarning: optree is installed but the version is too old to support PyTorch Dynamo in C++ pytree. C++ pytree support is disabled. Please consider upgrading optree using `python3 -m pip install --upgrade 'optree>=0.13.0'`.
  warnings.warn(
/usr/lib/python3/dist-packages/requests/__init__.py:87: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (4.0.0) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({}) doesn't match a supported "
wandb: Currently logged in as: bloggerwang1217 (bloggerwang1217-national-taiwan-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run snphsh0j
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /home/bloggerwang/robot-vaccum-rl/scripts/wandb/run-20251118_112059-snphsh0j
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run collision-10-energy-200-epsilon-decay
wandb: ⭐️ View project at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl
wandb: 🚀 View run at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl/runs/snphsh0j
Using device: cuda
[Episode 139] Steps: 62 | Survival: 3/4 | Mean Reward: 11.60 | Collisions: 26 | Kills: 1
[Episode 140] Steps: 147 | Survival: 3/4 | Mean Reward: 35.40 | Collisions: 37 | Kills: 1
[Episode 141] Steps: 187 | Survival: 3/4 | Mean Reward: 38.71 | Collisions: 45 | Kills: 0
[Episode 142] Steps: 178 | Survival: 3/4 | Mean Reward: 38.63 | Collisions: 38 | Kills: 0
[Episode 143] Steps: 155 | Survival: 3/4 | Mean Reward: 39.19 | Collisions: 37 | Kills: 0
[Episode 144] Steps: 67 | Survival: 3/4 | Mean Reward: 13.57 | Collisions: 22 | Kills: 0
[Episode 145] Steps: 120 | Survival: 3/4 | Mean Reward: 26.82 | Collisions: 28 | Kills: 0
[Episode 146] Steps: 112 | Survival: 3/4 | Mean Reward: 27.66 | Collisions: 39 | Kills: 2
[Episode 147] Steps: 124 | Survival: 3/4 | Mean Reward: 25.34 | Collisions: 42 | Kills: 0
[Episode 148] Steps: 187 | Survival: 3/4 | Mean Reward: 45.70 | Collisions: 33 | Kills: 0
[Episode 149] Steps: 131 | Survival: 3/4 | Mean Reward: 29.45 | Collisions: 38 | Kills: 0
[Episode 150] Steps: 187 | Survival: 3/4 | Mean Reward: 45.42 | Collisions: 39 | Kills: 1
[Episode 151] Steps: 135 | Survival: 3/4 | Mean Reward: 29.59 | Collisions: 31 | Kills: 1
[Episode 152] Steps: 273 | Survival: 3/4 | Mean Reward: 65.02 | Collisions: 60 | Kills: 2
[Episode 153] Steps: 170 | Survival: 3/4 | Mean Reward: 37.26 | Collisions: 54 | Kills: 0
[Episode 154] Steps: 248 | Survival: 3/4 | Mean Reward: 56.01 | Collisions: 50 | Kills: 0
